[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Analysis started at: 2025-11-09 11:13:58 AM
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Version constraints: ['^0.4.24']
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | solc version: v0.4.24
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Callgraph generation started!
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Callgraph generation finished!
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Interprocedural CFG generation started!
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Interprocedural CFG generation finished!
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Storage dependency graph generation started!
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Storage dependency graph generation finished!
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Value Range Analysis started
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Generating return summary for withdraw
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Return summary generated for withdraw
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Range graph generated
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Processed function withdraw
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Generating return summary for deposit
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Return summary generated for deposit
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Range graph generated
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Processed function deposit
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Value Range Analysis took 0.003712 seconds
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Value Range Analysis finished
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Storage dependency graph compostion started!
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Storage dependency graph compostion finished!
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Dependency detection started!
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | DAO dependency detected in file Mutexes_ree5.sol in contract Mutexes_ree5 in by composing functions withdraw and withdraw
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | DAO dependency detected in file Mutexes_ree5.sol in contract Mutexes_ree5 in by composing functions withdraw and deposit
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | TOD dependency detected in file Mutexes_ree5.sol in contract Mutexes_ree5 in by composing functions withdraw and withdraw
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | TOD dependency detected in file Mutexes_ree5.sol in contract Mutexes_ree5 in by composing functions withdraw and deposit
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Dependency detection finished!
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Static Analysis took 0.289996 seconds
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Dependency exists
[INFO] | 2025-11-09 11:13:58 AM | analyzer.Mutexes_ree5 | Invoking symbolic executor!
[INFO] | 2025-11-09 11:14:00 AM | analyzer.Mutexes_ree5 | Symbolic execution took 1.663896 seconds
[INFO] | 2025-11-09 11:14:00 AM | analyzer.Mutexes_ree5 | Symbolic execution finished!
[INFO] | 2025-11-09 11:14:00 AM | analyzer.Mutexes_ree5 | Analysis finished!
[INFO] | 2025-11-09 11:14:00 AM | analyzer.Mutexes_ree5 | Analysis took 1.956491 seconds
[INFO] | 2025-11-09 11:14:00 AM | analyzer.Mutexes_ree5 | Analysis finished at: 2025-11-09 11:14:00 AM
